103 95 112 | 84 88
117 100 42 | 97 95
109 99 152 | 79 85
106 100 499 | 79 85
117 100 200 | 73 88
109 99 421 | 83 90
117 100 543 | 97 95
99 97 383 | 97 95
117 100 589 | 91 91
117 100 505 | 105 96
117 100 397 | 73 88
117 100 314 | 105 96
106 100 433 | 106 100
117 100 301 | 85 95
105 96 26 | 99 97
117 100 148 | 91 91
117 100 539 | 91 91
117 100 378 | 103 95
117 100 42 | 87 93
106 100 79 | 89 98
117 100 72 | 92 95
117 100 504 | 89 98
106 100 524 | 90 92
117 100 312 | 87 93
109 99 314 | 77 86
117 100 198 | 117 100
117 100 564 | 117 100
117 100 529 | 89 98
117 100 92 | 105 96
105 96 461 | 97 95
117 100 627 | 117 100
105 96 74 | 76 69
99 97 287 | 91 91
105 96 422 | 97 95
117 100 164 | 83 90
117 100 656 | 117 100
99 97 145 | 89 98
117 100 488 | 106 100
117 100 358 | 83 90
105 96 72 | 83 90
117 100 102 | 106 100
117 100 345 | 99 97
117 100 22 | 73 88
105 96 362 | 99 97
117 100 333 | 79 85
117 100 156 | 109 99
105 96 221 | 105 96
103 95 36 | 87 93
117 100 478 | 117 100
117 100 50 | 105 96
109 99 509 | 103 95
99 97 479 | 91 91
117 100 334 | 89 98
109 99 224 | 109 99
117 100 322 | 85 95
117 100 346 | 98 93
109 99 302 | 99 97
117 100 659 | 117 100
106 100 319 | 79 85
106 100 461 | 103 95
117 100 106 | 117 100
117 100 370 | 106 100
117 100 597 | 117 100
106 100 115 | 89 98
109 99 345 | 85 100
117 100 396 | 99 97
117 100 162 | 85 100
109 99 220 | 105 96
117 100 38 | 117 100
109 99 32 | 85 95
117 100 340 | 105 96
109 99 350 | 105 96
117 100 738 | 117 100
109 99 114 | 91 91
117 100 200 | 90 92
109 99 212 | 109 99
117 100 6 | 105 96
106 100 86 | 91 91
105 96 672 | 105 96
117 100 317 | 91 91
117 100 58 | 89 98
117 100 186 | 106 100
106 100 429 | 89 98
117 100 460 | 83 90
117 100 449 | 117 100
109 99 510 | 98 93
117 100 242 | 87 93
106 100 305 | 97 95
117 100 572 | 105 96
117 100 44 | 117 100
106 100 541 | 83 90
103 95 337 | 91 91
117 100 44 | 79 85
109 99 412 | 103 95
117 100 256 | 97 95
117 100 574 | 117 100
109 99 594 | 109 99
106 100 597 | 87 93
99 97 319 | 85 100
106 100 515 | 91 91
117 100 134 | 105 96
106 100 456 | 85 100
109 99 366 | 106 100
117 100 360 | 106 100
117 100 40 | 97 95
117 100 511 | 117 100
106 100 184 | 91 91
117 100 630 | 117 100
109 99 476 | 90 92
117 100 408 | 97 95
109 99 423 | 105 96
106 100 541 | 98 93
109 99 650 | 103 95
109 99 210 | 85 100
105 96 174 | 84 88
109 99 471 | 79 85
117 100 692 | 117 100
117 100 315 | 91 91
117 100 617 | 117 100
117 100 668 | 117 100
117 100 678 | 117 100
117 100 233 | 105 96
117 100 575 | 109 99
117 100 434 | 90 92
117 100 59 | 87 93
117 100 194 | 92 95
109 99 278 | 109 99
117 100 230 | 105 96
109 99 522 | 106 100
106 100 233 | 105 96
117 100 84 | 85 100
105 96 486 | 78 98
105 96 534 | 73 88
106 100 344 | 99 97
117 100 434 | 105 96
105 96 652 | 105 96
106 100 73 | 91 91
117 100 72 | 77 81
106 100 534 | 105 96
117 100 174 | 105 96
109 99 412 | 105 96
117 100 206 | 105 96
117 100 632 | 117 100
117 100 675 | 117 100
117 100 176 | 117 100
103 95 521 | 97 95
117 100 561 | 87 93
117 100 658 | 117 100
109 99 436 | 98 93
109 99 106 | 98 93
106 100 141 | 76 69
117 100 412 | 106 100
105 96 511 | 97 95
117 100 216 | 97 95
99 97 581 | 91 91
106 100 500 | 80 91
117 100 448 | 90 92
106 100 386 | 106 100
117 100 58 | 87 93
109 99 32 | 90 92
117 100 600 | 109 99
105 96 699 | 105 96
109 99 482 | 106 100
109 99 484 | 109 99
109 99 48 | 106 100
117 100 336 | 109 99
117 100 706 | 117 100
106 100 359 | 99 97
117 100 219 | 99 97
117 100 88 | 92 95
109 99 410 | 103 95
117 100 362 | 89 98
117 100 472 | 103 95
109 99 346 | 85 100
105 96 632 | 105 96
117 100 170 | 105 96
106 100 307 | 91 91
117 100 58 | 80 91
109 99 651 | 109 99
109 99 411 | 91 91
106 100 9 | 99 97
105 96 402 | 87 93
109 99 316 | 92 95
109 99 66 | 97 95
109 99 150 | 85 95
117 100 448 | 85 100
117 100 56 | 106 100
117 100 76 | 117 100
109 99 160 | 97 95
117 100 536 | 98 93
109 99 232 | 103 95
106 100 39 | 105 96
117 100 418 | 98 93
117 100 270 | 85 100
117 100 434 | 91 91
106 100 61 | 76 69
117 100 301 | 109 99
117 100 330 | 89 98
106 100 253 | 106 100
117 100 704 | 117 100
117 100 757 | 117 100
117 100 160 | 92 95
105 96 439 | 77 81
109 99 310 | 106 100
103 95 32 | 91 91
117 100 307 | 85 95
109 99 458 | 105 96
106 100 472 | 98 93
117 100 637 | 109 99
105 96 56 | 97 95
109 99 182 | 87 93
117 100 324 | 105 96
106 100 547 | 85 95
92 95 539 | 92 95
109 99 318 | 105 96
117 100 279 | 98 93
117 100 126 | 89 98
117 100 62 | 117 100
117 100 168 | 84 88
106 100 341 | 89 98
117 100 518 | 99 97
117 100 300 | 80 91
117 100 517 | 91 91
109 99 315 | 87 93
117 100 361 | 117 100
109 99 376 | 85 100
117 100 138 | 80 91
117 100 676 | 117 100
106 100 478 | 85 100
106 100 287 | 89 98
117 100 633 | 117 100
117 100 659 | 117 100
106 100 111 | 87 93
117 100 184 | 84 88
117 100 314 | 78 98
106 100 549 | 79 85
109 99 381 | 97 95
106 100 380 | 90 92
106 100 241 | 84 88
105 96 545 | 80 91
117 100 674 | 103 95
109 99 140 | 97 95
109 99 256 | 105 96
117 100 372 | 98 93
117 100 92 | 117 100
109 99 385 | 91 91
117 100 427 | 109 99
117 100 161 | 83 90
117 100 194 | 73 88
106 100 476 | 77 81
109 99 16 | 92 95
117 100 208 | 117 100
105 96 132 | 92 95
117 100 68 | 103 95
106 100 274 | 91 91
117 100 174 | 91 91
117 100 508 | 87 93
109 99 744 | 109 99
106 100 417 | 79 85
117 100 227 | 117 100
117 100 599 | 109 99
117 100 220 | 106 100
106 100 253 | 105 96
106 100 53 | 92 95
117 100 146 | 117 100
109 99 538 | 87 93
109 99 48 | 87 93
117 100 341 | 90 92
117 100 162 | 91 91
106 100 308 | 98 93
117 100 280 | 103 95
117 100 537 | 105 96
106 100 117 | 85 100
117 100 174 | 91 91
117 100 180 | 79 85
106 100 462 | 77 81
117 100 26 | 89 98
98 93 432 | 89 98
98 93 14 | 98 93
117 100 423 | 73 88
105 96 337 | 78 98
117 100 130 | 105 96
117 100 465 | 91 91
103 95 353 | 73 88
106 100 199 | 91 91
117 100 302 | 103 95
99 97 9 | 78 98
99 97 467 | 85 95
117 100 308 | 98 93
106 100 253 | 97 95
117 100 563 | 91 91
103 95 304 | 83 90
117 100 722 | 117 100
105 96 643 | 89 98
117 100 484 | 117 100
117 100 568 | 79 85
117 100 504 | 79 85
117 100 30 | 77 81
109 99 196 | 98 93
106 100 113 | 97 95
117 100 526 | 77 86
106 100 679 | 106 100
117 100 694 | 117 100
117 100 571 | 106 100
117 100 260 | 117 100
117 100 216 | 76 69
109 99 74 | 83 90
117 100 182 | 103 95
106 100 358 | 77 81
106 100 63 | 92 95
117 100 524 | 109 99
109 99 387 | 109 99
117 100 654 | 117 100
109 99 239 | 77 86
117 100 262 | 91 91
103 95 44 | 85 95
109 99 466 | 97 95
109 99 283 | 91 91
117 100 595 | 117 100
117 100 24 | 105 96
109 99 570 | 91 91
103 95 482 | 91 91
109 99 262 | 80 91
106 100 538 | 89 98
117 100 84 | 84 88
117 100 558 | 91 91
117 100 82 | 77 81
106 100 341 | 84 88
109 99 648 | 103 95
117 100 58 | 87 93
117 100 232 | 85 95
117 100 525 | 105 96
117 100 68 | 89 98
109 99 705 | 109 99
117 100 338 | 105 96
106 100 305 | 90 92
117 100 445 | 79 85
109 99 292 | 77 86
99 97 143 | 89 98
117 100 326 | 106 100
117 100 171 | 117 100
103 95 90 | 89 98
117 100 544 | 117 100
109 99 471 | 98 93
103 95 472 | 77 86
99 97 195 | 98 93
109 99 117 | 105 96
105 96 196 | 83 90
109 99 62 | 109 99
117 100 702 | 109 99
117 100 595 | 97 95
117 100 214 | 97 95
117 100 690 | 117 100
117 100 641 | 117 100
117 100 483 | 89 98
117 100 386 | 103 95
105 96 615 | 105 96
109 99 544 | 89 98
105 96 673 | 91 91
105 96 602 | 91 91
117 100 82 | 117 100
109 99 565 | 84 88
117 100 200 | 85 95
117 100 282 | 90 92
117 100 348 | 99 97
117 100 240 | 98 93
109 99 576 | 77 86
109 99 50 | 106 100
117 100 697 | 117 100
117 100 593 | 109 99
117 100 574 | 117 100
117 100 414 | 106 100
117 100 158 | 105 96
117 100 34 | 98 93
117 100 318 | 105 96
109 99 682 | 109 99
97 95 302 | 97 95
117 100 369 | 117 100
117 100 80 | 99 97
117 100 698 | 117 100
117 100 571 | 106 100
117 100 412 | 90 92
117 100 438 | 91 91
106 100 33 | 106 100
117 100 423 | 106 100
105 96 603 | 105 96
105 96 379 | 78 98
117 100 707 | 103 95
117 100 358 | 105 96
109 99 326 | 98 93
117 100 632 | 117 100
117 100 599 | 117 100
117 100 537 | 78 98
117 100 550 | 91 91
117 100 373 | 98 93
109 99 219 | 103 95
117 100 641 | 117 100
117 100 237 | 89 98
109 99 420 | 89 98
109 99 244 | 83 90
117 100 360 | 89 98
117 100 481 | 83 90
109 99 84 | 85 95
105 96 66 | 91 91
117 100 84 | 103 95
117 100 402 | 105 96
98 93 678 | 98 93
105 96 646 | 105 96
109 99 676 | 109 99
117 100 498 | 78 98
105 96 144 | 89 98
117 100 459 | 103 95
105 96 572 | 89 98
117 100 587 | 99 97
106 100 233 | 91 91
117 100 364 | 90 92
117 100 545 | 103 95
117 100 532 | 77 81
99 97 508 | 97 95
105 96 365 | 83 90
117 100 240 | 90 92
106 100 241 | 83 90
117 100 742 | 117 100
105 96 196 | 89 98
109 99 461 | 91 91
106 100 335 | 80 91
109 99 44 | 85 95
117 100 544 | 105 96
98 93 449 | 89 98
117 100 385 | 98 93
117 100 138 | 97 95
103 95 421 | 91 91
117 100 355 | 99 97
109 99 124 | 106 100
117 100 508 | 103 95
117 100 310 | 91 91
117 100 608 | 117 100
103 95 278 | 89 98
105 96 198 | 99 97
117 100 106 | 97 95
117 100 262 | 87 93
117 100 604 | 117 100
106 100 139 | 98 93
117 100 294 | 83 90
105 96 94 | 98 93
106 100 187 | 85 100
117 100 577 | 109 99
117 100 536 | 109 99
117 100 627 | 109 99
117 100 420 | 106 100
117 100 524 | 97 95
106 100 523 | 98 93
117 100 296 | 106 100
117 100 370 | 98 93
106 100 73 | 85 100
117 100 108 | 91 91
109 99 377 | 90 92
117 100 410 | 91 91
117 100 104 | 77 86
109 99 761 | 109 99
109 99 49 | 85 100
117 100 672 | 117 100
117 100 182 | 117 100
106 100 149 | 105 96
117 100 148 | 77 86
106 100 233 | 98 93
117 100 614 | 117 100
117 100 213 | 89 98
105 96 508 | 85 100
106 100 479 | 91 91
117 100 366 | 85 100
117 100 215 | 117 100
109 99 160 | 106 100
117 100 648 | 109 99
117 100 78 | 83 90
117 100 90 | 77 86
117 100 332 | 103 95
117 100 283 | 83 90
105 96 122 | 80 91
117 100 52 | 97 95
106 100 509 | 97 95
117 100 270 | 92 95
109 99 444 | 79 85
105 96 595 | 105 96
117 100 144 | 117 100
117 100 444 | 117 100
117 100 364 | 97 95
106 100 552 | 106 100
109 99 50 | 91 91
109 99 49 | 85 100
103 95 418 | 89 98
117 100 336 | 78 98
105 96 595 | 97 95
109 99 299 | 78 98
98 93 284 | 91 91
117 100 484 | 98 93
117 100 450 | 117 100
117 100 20 | 77 81
117 100 445 | 73 88
105 96 492 | 98 93
106 100 79 | 79 85
117 100 8 | 90 92
117 100 577 | 117 100
109 99 119 | 83 90
117 100 158 | 89 98
106 100 153 | 89 98
106 100 132 | 84 88
117 100 371 | 98 93
103 95 142 | 78 98
117 100 122 | 99 97
117 100 634 | 109 99
117 100 351 | 77 81
91 91 36 | 89 98
109 99 493 | 85 100
117 100 635 | 117 100
117 100 212 | 117 100
117 100 128 | 89 98
117 100 604 | 103 95
105 96 395 | 105 96
117 100 8 | 89 98
99 97 462 | 91 91
109 99 248 | 91 91
105 96 431 | 89 98
109 99 260 | 89 98
99 97 556 | 98 93
106 100 187 | 97 95
117 100 22 | 84 88
105 96 511 | 98 93
117 100 642 | 103 95
117 100 688 | 117 100
117 100 596 | 117 100
117 100 620 | 117 100
117 100 569 | 83 90
109 99 391 | 91 91
117 100 100 | 99 97
117 100 502 | 89 98
117 100 279 | 109 99
109 99 409 | 106 100
117 100 320 | 77 86
117 100 20 | 106 100
117 100 272 | 91 91
117 100 158 | 73 88
117 100 142 | 98 93
105 96 298 | 89 98
105 96 703 | 105 96
105 96 493 | 85 95
117 100 56 | 106 100
117 100 44 | 80 91
109 99 738 | 109 99
106 100 408 | 89 98
109 99 339 | 84 88
109 99 88 | 79 85
109 99 592 | 97 95
109 99 176 | 105 96
109 99 66 | 90 92
117 100 222 | 83 90
109 99 98 | 92 95
105 96 706 | 105 96
117 100 492 | 73 88
103 95 601 | 99 97
117 100 24 | 106 100
91 91 213 | 89 98
109 99 334 | 85 95
117 100 519 | 106 100
117 100 230 | 84 88
117 100 670 | 103 95
117 100 516 | 98 93
105 96 506 | 105 96
106 100 498 | 89 98
98 93 326 | 77 81
117 100 457 | 106 100
109 99 175 | 84 88
117 100 651 | 117 100
117 100 378 | 91 91
117 100 570 | 92 95
117 100 429 | 89 98
99 97 183 | 89 98
