106 100 3 | 92 95
117 100 94 | 72 71
117 100 32 | 84 88
106 100 541 | 99 97
103 95 156 | 0 217
117 100 636 | 0 246
106 100 581 | 0 204
117 100 2 | 0 224
117 100 104 | 0 204
99 97 325 | 0 290
106 100 815 | 0 316
109 99 302 | 0 243
109 99 132 | 0 136
106 100 363 | 0 161
117 100 174 | 63 76
117 100 563 | 0 291
117 100 4 | 0 231
117 100 228 | 0 267
117 100 372 | 0 122
106 100 425 | 65 69
109 99 206 | 0 197
106 100 313 | 0 275
109 99 296 | 0 373
109 99 198 | 0 466
117 100 274 | 0 303
117 100 292 | 0 212
117 100 914 | 0 414
109 99 136 | 0 246
117 100 116 | 78 98
117 100 422 | 0 281
99 97 961 | 0 276
106 100 783 | 78 98
117 100 426 | 77 73
109 99 788 | 0 470
117 100 162 | 0 193
117 100 986 | 99 97
109 99 106 | 0 198
106 100 795 | 0 220
109 99 550 | 0 316
109 99 304 | 0 230
117 100 90 | 0 172
117 100 8 | 77 86
117 100 288 | 0 275
117 100 4 | 0 193
109 99 726 | 0 283
117 100 430 | 0 321
106 100 475 | 77 86
117 100 522 | 0 266
117 100 710 | 0 114
106 100 1 | 0 294
109 99 498 | 0 247
109 99 776 | 0 316
109 99 852 | 0 235
106 100 491 | 0 231
117 100 992 | 0 143
109 99 76 | 0 221
109 99 64 | 0 155
117 100 423 | 0 333
109 99 472 | 0 352
117 100 42 | 0 235
117 100 88 | 0 283
106 100 494 | 0 285
117 100 624 | 0 315
117 100 218 | 0 307
109 99 104 | 0 253
105 96 522 | 97 95
109 99 868 | 0 231
105 96 100 | 0 210
106 100 972 | 0 492
117 100 686 | 0 341
117 100 142 | 0 206
117 100 346 | 0 243
109 99 770 | 0 346
106 100 690 | 0 193
109 99 851 | 0 240
109 99 180 | 0 143
117 100 576 | 0 260
117 100 264 | 73 88
117 100 88 | 77 81
117 100 184 | 0 164
117 100 42 | 0 193
105 96 334 | 0 138
117 100 364 | 0 277
105 96 496 | 0 214
117 100 90 | 0 264
117 100 178 | 0 152
109 99 156 | 59 65
117 100 561 | 0 286
117 100 334 | 0 183
106 100 809 | 0 196
