117 100 1219 | 84 88
117 100 1707 | 117 100
109 99 26 | 91 91
117 100 20 | 77 81
117 100 757 | 98 93
117 100 367 | 117 100
109 99 837 | 91 91
109 99 129 | 106 100
117 100 1281 | 77 81
117 100 697 | 80 91
117 100 1590 | 109 99
117 100 1669 | 117 100
117 100 745 | 90 92
117 100 1213 | 91 91
117 100 1147 | 91 91
117 100 562 | 89 98
117 100 348 | 105 96
109 99 552 | 98 93
117 100 527 | 97 95
117 100 560 | 79 85
117 100 1756 | 109 99
117 100 1233 | 117 100
117 100 1628 | 117 100
109 99 311 | 91 91
117 100 552 | 79 85
117 100 1320 | 98 93
117 100 610 | 78 98
109 99 113 | 87 93
117 100 1503 | 117 100
117 100 40 | 117 100
117 100 929 | 117 100
117 100 1436 | 106 100
117 100 564 | 84 88
117 100 1032 | 84 88
117 100 356 | 97 95
117 100 316 | 90 92
117 100 344 | 103 95
117 100 817 | 105 96
117 100 1624 | 117 100
117 100 496 | 106 100
106 100 690 | 106 100
117 100 520 | 105 96
117 100 159 | 117 100
117 100 1064 | 98 93
117 100 1262 | 117 100
117 100 663 | 117 100
117 100 291 | 106 100
117 100 348 | 99 97
117 100 1145 | 105 96
109 99 108 | 87 93
117 100 294 | 105 96
117 100 30 | 84 88
117 100 203 | 106 100
117 100 754 | 92 95
117 100 1598 | 117 100
117 100 533 | 117 100
117 100 1560 | 117 100
117 100 391 | 103 95
117 100 18 | 106 100
106 100 384 | 85 100
117 100 1390 | 105 96
117 100 1690 | 109 99
117 100 545 | 109 99
117 100 58 | 80 91
117 100 745 | 98 93
117 100 1264 | 91 91
117 100 641 | 85 100
117 100 1503 | 106 100
117 100 1315 | 105 96
117 100 158 | 117 100
117 100 546 | 98 93
117 100 695 | 87 93
117 100 585 | 117 100
117 100 175 | 99 97
117 100 47 | 89 98
117 100 1698 | 117 100
117 100 992 | 105 96
117 100 272 | 91 91
117 100 690 | 117 100
117 100 1419 | 117 100
117 100 753 | 109 99
117 100 755 | 117 100
117 100 28 | 87 93
117 100 1456 | 117 100
117 100 886 | 97 95
117 100 239 | 105 96
117 100 178 | 105 96
117 100 51 | 117 100
117 100 25 | 105 96
117 100 126 | 90 92
117 100 837 | 89 98
117 100 106 | 98 93
117 100 20 | 105 96
117 100 931 | 98 93
117 100 1540 | 109 99
109 99 237 | 105 96
117 100 379 | 105 96
117 100 334 | 73 88
109 99 86 | 89 98
117 100 484 | 78 98
117 100 1127 | 83 90
117 100 771 | 77 86
109 99 484 | 105 96
117 100 1658 | 117 100
117 100 765 | 77 86
109 99 1126 | 105 96
117 100 1286 | 92 95
117 100 192 | 99 97
117 100 651 | 98 93
117 100 234 | 117 100
109 99 481 | 77 81
117 100 369 | 97 95
117 100 401 | 79 85
117 100 861 | 109 99
117 100 921 | 117 100
109 99 1027 | 105 96
117 100 891 | 109 99
117 100 1426 | 89 98
117 100 930 | 117 100
117 100 270 | 87 93
117 100 715 | 98 93
117 100 1188 | 105 96
117 100 1420 | 83 90
117 100 1376 | 99 97
