117 100 1344 | 63 76
117 100 588 | 0 283
117 100 460 | 0 346
117 100 364 | 0 392
117 100 1226 | 0 400
117 100 140 | 0 376
117 100 2034 | 0 283
117 100 1116 | 85 100
117 100 2368 | 0 260
117 100 1228 | 0 269
117 100 390 | 0 206
106 100 1250 | 0 121
117 100 2878 | 0 309
117 100 1036 | 85 100
117 100 988 | 0 151
109 99 1190 | 0 246
109 99 458 | 0 185
109 99 50 | 0 269
117 100 826 | 0 214
117 100 1891 | 92 95
117 100 787 | 97 95
117 100 2586 | 0 194
106 100 573 | 0 252
117 100 1096 | 0 188
