117 100 590 | 0 238
117 100 650 | 0 327
117 100 600 | 0 352
117 100 886 | 0 297
117 100 2237 | 0 319
117 100 382 | 0 256
117 100 256 | 0 140
117 100 1346 | 0 169
117 100 102 | 0 164
117 100 935 | 0 186
117 100 1592 | 0 243
117 100 124 | 0 276
117 100 1660 | 0 202
117 100 438 | 106 100
117 100 1114 | 0 350
117 100 1441 | 0 312
117 100 137 | 87 93
117 100 1482 | 0 344
117 100 420 | 0 191
117 100 1320 | 105 96
117 100 558 | 90 92
117 100 1638 | 0 322
117 100 806 | 0 169
117 100 6 | 0 290
117 100 1892 | 0 223
117 100 248 | 0 194
117 100 370 | 0 272
117 100 924 | 0 140
117 100 1110 | 0 221
117 100 342 | 0 250
109 99 240 | 0 226
117 100 834 | 79 85
117 100 2318 | 0 221
117 100 312 | 0 445
117 100 324 | 63 76
117 100 4 | 0 294
117 100 340 | 80 91
109 99 6 | 0 361
117 100 51 | 97 95
117 100 2353 | 0 224
117 100 813 | 0 157
117 100 1350 | 97 95
109 99 178 | 87 93
117 100 366 | 0 272
117 100 196 | 85 100
117 100 2089 | 0 230
117 100 348 | 0 169
109 99 2433 | 84 88
117 100 2137 | 0 247
117 100 326 | 103 95
117 100 2887 | 73 88
117 100 1592 | 84 88
117 100 152 | 0 282
117 100 489 | 0 356
117 100 1532 | 0 202
117 100 2378 | 84 88
109 99 1259 | 0 122
117 100 570 | 105 96
117 100 628 | 117 100
117 100 2708 | 77 86
117 100 1016 | 0 219
117 100 728 | 0 107
117 100 2646 | 105 96
117 100 724 | 0 269
117 100 1704 | 0 259
117 100 2506 | 0 349
117 100 2076 | 0 323
117 100 1198 | 78 98
117 100 1593 | 0 261
117 100 803 | 105 96
117 100 1422 | 0 177
117 100 1118 | 91 91
117 100 962 | 0 354
117 100 1322 | 91 91
117 100 120 | 0 161
117 100 530 | 73 88
117 100 402 | 0 112
117 100 10 | 0 221
117 100 1944 | 87 93
117 100 218 | 0 319
117 100 599 | 0 399
117 100 1960 | 0 154
117 100 1010 | 0 190
117 100 526 | 84 88
109 99 142 | 0 232
117 100 64 | 0 133
117 100 484 | 0 237
117 100 294 | 92 95
