117 100 119 | 109 99
117 100 615 | 117 100
109 99 115 | 109 99
109 99 93 | 79 85
117 100 587 | 117 100
109 99 373 | 79 85
109 99 470 | 103 95
105 96 417 | 90 92
109 99 98 | 106 100
109 99 137 | 83 90
109 99 10 | 105 96
117 100 249 | 117 100
106 100 14 | 106 100
117 100 556 | 109 99
105 96 98 | 91 91
117 100 473 | 105 96
117 100 364 | 76 69
105 96 90 | 105 96
117 100 225 | 117 100
109 99 57 | 98 93
109 99 181 | 90 92
99 97 227 | 87 93
117 100 578 | 117 100
117 100 496 | 98 93
105 96 204 | 89 98
106 100 455 | 105 96
109 99 249 | 85 95
117 100 488 | 87 93
117 100 350 | 85 100
117 100 462 | 89 98
117 100 127 | 83 90
98 93 694 | 98 93
106 100 513 | 105 96
117 100 278 | 117 100
106 100 382 | 80 91
117 100 507 | 91 91
117 100 16 | 89 98
106 100 45 | 90 92
109 99 319 | 85 95
117 100 291 | 109 99
105 96 154 | 78 98
97 95 105 | 90 92
106 100 53 | 106 100
117 100 200 | 98 93
98 93 21 | 97 95
117 100 50 | 103 95
99 97 361 | 89 98
117 100 238 | 117 100
105 96 565 | 90 92
109 99 135 | 85 95
117 100 16 | 89 98
109 99 560 | 76 69
106 100 144 | 77 86
109 99 402 | 92 95
117 100 66 | 98 93
109 99 426 | 106 100
117 100 297 | 85 95
106 100 564 | 98 93
117 100 540 | 92 95
117 100 540 | 98 93
117 100 334 | 83 90
117 100 533 | 85 100
117 100 490 | 109 99
106 100 138 | 79 85
109 99 143 | 105 96
117 100 549 | 91 91
117 100 63 | 105 96
109 99 97 | 92 95
117 100 515 | 117 100
92 95 231 | 90 92
117 100 392 | 106 100
117 100 12 | 106 100
109 99 402 | 76 69
109 99 150 | 79 85
117 100 397 | 73 88
117 100 171 | 85 100
117 100 652 | 117 100
117 100 590 | 117 100
105 96 670 | 97 95
109 99 261 | 105 96
117 100 546 | 89 98
117 100 187 | 109 99
109 99 313 | 77 86
117 100 357 | 106 100
117 100 272 | 99 97
117 100 640 | 117 100
117 100 499 | 99 97
117 100 237 | 117 100
117 100 482 | 89 98
117 100 288 | 91 91
105 96 466 | 87 93
117 100 501 | 117 100
117 100 455 | 85 95
117 100 439 | 89 98
117 100 643 | 117 100
117 100 329 | 105 96
117 100 297 | 105 96
109 99 275 | 78 98
117 100 618 | 109 99
109 99 481 | 97 95
117 100 5 | 99 97
117 100 117 | 87 93
106 100 22 | 98 93
109 99 336 | 83 90
117 100 441 | 85 95
105 96 144 | 85 95
106 100 70 | 90 92
106 100 602 | 87 93
117 100 411 | 87 93
106 100 310 | 106 100
117 100 547 | 109 99
117 100 475 | 90 92
117 100 406 | 109 99
117 100 576 | 76 69
117 100 713 | 117 100
103 95 210 | 85 95
106 100 459 | 91 91
117 100 406 | 99 97
106 100 362 | 85 100
105 96 158 | 91 91
106 100 460 | 91 91
117 100 128 | 97 95
117 100 103 | 77 81
117 100 360 | 89 98
117 100 550 | 98 93
117 100 566 | 109 99
117 100 351 | 98 93
117 100 375 | 91 91
117 100 240 | 98 93
117 100 674 | 117 100
105 96 593 | 83 90
117 100 438 | 98 93
117 100 205 | 97 95
109 99 400 | 105 96
106 100 230 | 87 93
105 96 469 | 87 93
117 100 377 | 77 86
117 100 520 | 117 100
117 100 350 | 99 97
117 100 557 | 89 98
117 100 574 | 117 100
117 100 128 | 106 100
117 100 104 | 90 92
106 100 111 | 97 95
103 95 382 | 99 97
117 100 480 | 89 98
117 100 451 | 87 93
109 99 425 | 89 98
117 100 333 | 87 93
117 100 426 | 117 100
117 100 632 | 117 100
117 100 209 | 109 99
117 100 476 | 109 99
117 100 591 | 99 97
109 99 251 | 105 96
117 100 591 | 117 100
105 96 110 | 85 95
117 100 577 | 117 100
117 100 67 | 117 100
117 100 13 | 92 95
117 100 1 | 97 95
117 100 90 | 106 100
109 99 668 | 109 99
117 100 106 | 109 99
109 99 613 | 109 99
106 100 258 | 91 91
117 100 0 | 80 91
105 96 10 | 85 95
117 100 369 | 85 100
109 99 129 | 79 85
117 100 324 | 97 95
117 100 130 | 83 90
117 100 645 | 117 100
117 100 407 | 109 99
117 100 700 | 117 100
117 100 553 | 99 97
117 100 741 | 117 100
105 96 392 | 78 98
109 99 203 | 97 95
117 100 707 | 117 100
109 99 507 | 105 96
109 99 15 | 90 92
97 95 15 | 97 95
109 99 474 | 98 93
117 100 123 | 91 91
99 97 297 | 78 98
109 99 398 | 98 93
117 100 259 | 77 86
117 100 672 | 117 100
117 100 646 | 103 95
109 99 386 | 98 93
117 100 568 | 105 96
117 100 73 | 117 100
105 96 356 | 99 97
97 95 657 | 97 95
105 96 391 | 79 85
