117 100 947 | 0 371
117 100 2209 | 83 90
117 100 1914 | 0 291
117 100 217 | 0 415
109 99 1560 | 0 394
117 100 507 | 89 98
117 100 544 | 98 93
117 100 625 | 0 278
117 100 734 | 0 307
117 100 802 | 0 197
117 100 763 | 83 90
109 99 835 | 0 249
117 100 905 | 0 202
117 100 0 | 87 93
109 99 215 | 85 95
117 100 448 | 89 98
117 100 2567 | 78 98
117 100 984 | 0 192
117 100 766 | 0 352
117 100 2102 | 0 295
117 100 375 | 0 373
117 100 1973 | 50 47
117 100 188 | 87 93
117 100 1507 | 0 352
117 100 1236 | 0 160
117 100 479 | 0 492
117 100 1222 | 90 92
117 100 559 | 106 100
117 100 260 | 0 278
117 100 556 | 78 98
109 99 2835 | 0 399
117 100 1035 | 0 345
109 99 54 | 97 95
117 100 769 | 91 91
117 100 248 | 0 214
117 100 180 | 97 95
109 99 1216 | 85 95
117 100 1507 | 78 98
117 100 1021 | 0 265
117 100 2391 | 77 86
117 100 440 | 0 349
117 100 1966 | 0 247
117 100 1512 | 0 422
117 100 2383 | 0 195
117 100 1171 | 65 69
117 100 583 | 0 321
117 100 345 | 0 285
117 100 194 | 0 211
117 100 1396 | 0 193
117 100 1025 | 98 93
117 100 4 | 0 129
109 99 802 | 90 92
117 100 53 | 77 81
117 100 2858 | 91 91
109 99 1336 | 99 97
117 100 724 | 0 245
109 99 1181 | 0 349
117 100 1074 | 0 250
109 99 236 | 0 183
117 100 1035 | 77 73
117 100 2041 | 76 69
117 100 91 | 0 302
117 100 476 | 0 304
109 99 490 | 0 180
117 100 531 | 0 336
109 99 1391 | 0 354
109 99 2176 | 0 261
117 100 816 | 0 191
117 100 516 | 0 221
109 99 2719 | 0 254
117 100 651 | 0 230
117 100 261 | 91 91
117 100 2111 | 97 95
117 100 2905 | 91 91
117 100 322 | 0 288
117 100 91 | 0 270
109 99 787 | 0 319
117 100 1443 | 0 257
117 100 10 | 0 371
117 100 297 | 0 148
117 100 652 | 0 236
117 100 8 | 87 93
117 100 2838 | 83 90
117 100 829 | 0 266
117 100 576 | 0 288
117 100 897 | 0 250
117 100 227 | 0 224
117 100 2132 | 0 278
117 100 787 | 0 342
117 100 518 | 91 91
117 100 209 | 0 381
117 100 1696 | 0 199
117 100 729 | 0 156
117 100 298 | 105 96
117 100 2153 | 0 143
117 100 371 | 0 316
117 100 694 | 0 352
117 100 2 | 77 86
117 100 1168 | 0 278
117 100 80 | 0 194
117 100 942 | 0 209
117 100 1125 | 0 319
117 100 728 | 0 262
117 100 1091 | 0 219
117 100 150 | 66 67
117 100 1141 | 0 380
117 100 1357 | 0 256
117 100 2018 | 0 307
117 100 17 | 0 279
117 100 1739 | 85 95
109 99 185 | 0 191
117 100 1001 | 117 100
117 100 300 | 0 315
117 100 13 | 0 191
117 100 1724 | 0 269
117 100 492 | 0 283
117 100 481 | 0 195
117 100 590 | 0 394
117 100 502 | 0 283
117 100 881 | 99 97
117 100 93 | 66 67
109 99 20 | 99 97
117 100 39 | 80 91
117 100 889 | 0 286
117 100 351 | 0 167
117 100 1144 | 0 251
117 100 412 | 0 236
117 100 10 | 84 88
117 100 815 | 0 385
117 100 728 | 0 314
117 100 1634 | 0 355
117 100 2875 | 80 91
117 100 1665 | 0 281
117 100 747 | 0 404
117 100 293 | 0 288
117 100 671 | 79 85
117 100 1626 | 0 306
117 100 266 | 0 293
117 100 2581 | 97 95
117 100 949 | 0 248
117 100 654 | 0 278
117 100 49 | 99 97
117 100 2097 | 0 235
117 100 220 | 65 69
117 100 2055 | 0 330
117 100 267 | 0 334
117 100 1878 | 0 202
117 100 650 | 90 92
109 99 923 | 85 100
117 100 942 | 0 324
117 100 487 | 97 95
117 100 555 | 0 191
117 100 148 | 0 316
117 100 53 | 0 264
117 100 1718 | 0 154
117 100 758 | 98 93
117 100 1720 | 103 95
117 100 351 | 0 349
117 100 1535 | 0 371
117 100 358 | 85 100
117 100 834 | 0 217
117 100 429 | 0 235
109 99 510 | 91 91
117 100 1218 | 77 81
117 100 748 | 0 349
117 100 47 | 0 168
117 100 349 | 85 95
117 100 76 | 0 243
117 100 499 | 0 314
109 99 474 | 77 86
117 100 1036 | 0 174
117 100 423 | 0 226
117 100 1876 | 0 250
117 100 11 | 97 95
117 100 154 | 0 172
117 100 71 | 0 250
117 100 1758 | 97 95
117 100 2992 | 117 100
117 100 569 | 0 271
117 100 846 | 87 93
117 100 311 | 0 169
117 100 74 | 0 224
109 99 92 | 97 95
117 100 2615 | 98 93
117 100 1730 | 0 349
117 100 653 | 0 177
117 100 1475 | 103 95
117 100 856 | 99 97
117 100 602 | 0 288
117 100 170 | 0 198
117 100 689 | 0 382
117 100 2224 | 97 95
117 100 2210 | 0 187
117 100 35 | 89 98
117 100 191 | 0 471
117 100 2421 | 76 69
117 100 222 | 85 100
117 100 63 | 91 91
117 100 52 | 0 286
117 100 873 | 0 349
117 100 357 | 90 92
117 100 1012 | 91 91
117 100 292 | 109 99
117 100 289 | 73 88
117 100 885 | 0 297
117 100 1087 | 106 100
117 100 674 | 92 95
117 100 1270 | 103 95
117 100 1053 | 0 193
117 100 824 | 109 99
117 100 1413 | 0 357
117 100 1692 | 91 91
