117 100 346 | 91 91
117 100 629 | 117 100
117 100 1348 | 103 95
117 100 152 | 99 97
117 100 1113 | 109 99
117 100 438 | 87 93
117 100 438 | 117 100
117 100 390 | 99 97
117 100 995 | 80 91
117 100 189 | 117 100
117 100 180 | 89 98
109 99 350 | 99 97
117 100 1627 | 117 100
109 99 437 | 91 91
117 100 722 | 105 96
117 100 176 | 105 96
117 100 494 | 97 95
117 100 968 | 79 85
117 100 794 | 117 100
117 100 356 | 105 96
117 100 586 | 117 100
117 100 372 | 103 95
117 100 898 | 78 98
117 100 262 | 117 100
117 100 668 | 105 96
117 100 172 | 109 99
117 100 1009 | 117 100
117 100 36 | 76 69
117 100 1163 | 91 91
117 100 1453 | 117 100
117 100 92 | 97 95
117 100 198 | 105 96
117 100 450 | 105 96
117 100 38 | 87 93
117 100 96 | 92 95
117 100 1071 | 89 98
117 100 1282 | 103 95
117 100 677 | 117 100
117 100 481 | 84 88
117 100 590 | 89 98
117 100 1506 | 89 98
117 100 1524 | 106 100
109 99 340 | 92 95
117 100 8 | 97 95
117 100 1020 | 106 100
117 100 230 | 91 91
109 99 187 | 109 99
117 100 46 | 99 97
117 100 1133 | 89 98
117 100 424 | 109 99
117 100 1123 | 89 98
106 100 5 | 105 96
117 100 78 | 109 99
117 100 60 | 117 100
117 100 410 | 109 99
117 100 534 | 106 100
117 100 1248 | 92 95
117 100 462 | 117 100
106 100 1469 | 106 100
117 100 730 | 117 100
117 100 898 | 89 98
117 100 264 | 109 99
117 100 780 | 91 91
117 100 474 | 117 100
109 99 152 | 87 93
117 100 52 | 91 91
117 100 557 | 99 97
117 100 30 | 79 85
117 100 340 | 109 99
117 100 600 | 91 91
117 100 1701 | 103 95
117 100 662 | 117 100
117 100 851 | 117 100
117 100 46 | 117 100
117 100 284 | 91 91
99 97 1 | 98 93
117 100 444 | 85 95
117 100 132 | 87 93
117 100 8 | 98 93
117 100 501 | 105 96
117 100 278 | 85 100
117 100 234 | 106 100
117 100 146 | 109 99
117 100 694 | 84 88
117 100 511 | 77 81
109 99 258 | 106 100
117 100 1055 | 87 93
117 100 134 | 106 100
117 100 186 | 98 93
117 100 136 | 91 91
117 100 1116 | 90 92
109 99 288 | 98 93
117 100 746 | 99 97
117 100 1085 | 85 100
117 100 424 | 105 96
117 100 1573 | 109 99
117 100 981 | 91 91
106 100 3 | 85 100
117 100 1538 | 117 100
117 100 152 | 97 95
117 100 416 | 98 93
117 100 6 | 85 95
117 100 1348 | 97 95
117 100 1086 | 98 93
117 100 564 | 117 100
117 100 875 | 80 91
117 100 906 | 109 99
117 100 981 | 77 86
117 100 879 | 109 99
117 100 1762 | 117 100
117 100 212 | 105 96
117 100 870 | 117 100
117 100 2 | 87 93
117 100 396 | 117 100
117 100 766 | 106 100
117 100 422 | 117 100
117 100 730 | 85 100
117 100 542 | 85 100
117 100 641 | 79 85
117 100 20 | 117 100
106 100 1068 | 105 96
117 100 574 | 97 95
117 100 966 | 79 85
117 100 18 | 80 91
117 100 1324 | 106 100
117 100 150 | 117 100
117 100 491 | 91 91
117 100 18 | 98 93
109 99 673 | 84 88
117 100 1093 | 99 97
117 100 430 | 85 100
117 100 402 | 97 95
117 100 90 | 85 100
117 100 1064 | 92 95
109 99 912 | 105 96
117 100 548 | 78 98
117 100 314 | 117 100
117 100 1632 | 117 100
117 100 14 | 90 92
117 100 1069 | 89 98
117 100 1277 | 98 93
117 100 869 | 98 93
117 100 607 | 77 86
117 100 774 | 98 93
117 100 477 | 73 88
117 100 154 | 79 85
117 100 1254 | 105 96
109 99 254 | 105 96
117 100 410 | 106 100
117 100 8 | 117 100
117 100 575 | 105 96
117 100 288 | 85 100
117 100 188 | 109 99
117 100 395 | 117 100
117 100 2 | 77 81
117 100 312 | 84 88
117 100 818 | 87 93
117 100 1410 | 89 98
117 100 208 | 90 92
117 100 825 | 105 96
109 99 358 | 90 92
117 100 738 | 97 95
117 100 1113 | 79 85
117 100 1150 | 98 93
117 100 1505 | 89 98
117 100 654 | 97 95
117 100 946 | 85 95
109 99 688 | 99 97
109 99 142 | 106 100
117 100 1026 | 83 90
117 100 650 | 117 100
117 100 535 | 117 100
117 100 482 | 117 100
117 100 605 | 92 95
105 96 365 | 90 92
117 100 1149 | 89 98
117 100 113 | 105 96
109 99 60 | 98 93
117 100 558 | 98 93
117 100 1365 | 109 99
117 100 511 | 91 91
117 100 775 | 99 97
109 99 756 | 103 95
117 100 766 | 84 88
109 99 260 | 89 98
109 99 138 | 105 96
117 100 98 | 85 100
117 100 1486 | 117 100
117 100 623 | 117 100
117 100 648 | 98 93
117 100 1038 | 99 97
106 100 181 | 99 97
117 100 981 | 117 100
117 100 677 | 106 100
117 100 487 | 109 99
117 100 800 | 91 91
117 100 142 | 89 98
117 100 12 | 92 95
109 99 997 | 97 95
109 99 1319 | 83 90
117 100 1251 | 106 100
117 100 1220 | 105 96
109 99 732 | 90 92
117 100 705 | 91 91
117 100 693 | 117 100
117 100 219 | 99 97
117 100 1017 | 98 93
105 96 805 | 89 98
117 100 944 | 117 100
117 100 707 | 106 100
117 100 36 | 98 93
117 100 1066 | 103 95
117 100 980 | 117 100
117 100 432 | 89 98
117 100 278 | 78 98
117 100 28 | 117 100
117 100 547 | 90 92
117 100 272 | 98 93
117 100 884 | 109 99
109 99 477 | 98 93
117 100 1006 | 91 91
117 100 1560 | 117 100
109 99 270 | 78 98
106 100 1636 | 106 100
117 100 1243 | 106 100
109 99 384 | 105 96
117 100 1103 | 92 95
117 100 388 | 105 96
109 99 1011 | 85 100
117 100 798 | 117 100
117 100 64 | 87 93
109 99 1142 | 105 96
117 100 366 | 105 96
117 100 86 | 117 100
117 100 383 | 89 98
117 100 1203 | 85 100
117 100 250 | 99 97
117 100 414 | 85 100
109 99 935 | 99 97
117 100 1297 | 87 93
106 100 187 | 105 96
117 100 1037 | 117 100
117 100 396 | 105 96
117 100 607 | 84 88
109 99 437 | 105 96
105 96 326 | 97 95
117 100 1621 | 117 100
109 99 310 | 90 92
109 99 680 | 106 100
117 100 405 | 89 98
109 99 306 | 106 100
106 100 301 | 105 96
117 100 1370 | 99 97
117 100 130 | 89 98
106 100 668 | 97 95
117 100 442 | 117 100
117 100 984 | 77 86
117 100 52 | 89 98
117 100 1175 | 105 96
117 100 276 | 117 100
109 99 42 | 105 96
109 99 817 | 84 88
117 100 1769 | 117 100
117 100 1223 | 105 96
109 99 964 | 98 93
117 100 139 | 109 99
117 100 20 | 99 97
117 100 919 | 98 93
117 100 1766 | 117 100
117 100 818 | 109 99
109 99 1198 | 91 91
117 100 837 | 91 91
117 100 206 | 77 81
117 100 1378 | 89 98
117 100 1333 | 117 100
117 100 982 | 99 97
117 100 1216 | 89 98
117 100 762 | 117 100
117 100 444 | 90 92
117 100 1422 | 117 100
109 99 715 | 106 100
109 99 609 | 77 86
117 100 10 | 98 93
109 99 729 | 77 81
117 100 750 | 80 91
117 100 377 | 117 100
106 100 1 | 98 93
117 100 268 | 85 100
117 100 1087 | 117 100
117 100 362 | 85 100
109 99 372 | 98 93
117 100 1023 | 99 97
117 100 1439 | 109 99
117 100 1532 | 117 100
117 100 38 | 85 100
117 100 580 | 90 92
117 100 686 | 105 96
117 100 698 | 117 100
109 99 2 | 77 81
117 100 1128 | 117 100
109 99 1438 | 97 95
117 100 199 | 91 91
117 100 102 | 92 95
117 100 770 | 98 93
117 100 1382 | 73 88
109 99 58 | 91 91
117 100 1772 | 117 100
117 100 667 | 117 100
117 100 1363 | 105 96
117 100 710 | 105 96
105 96 1481 | 105 96
117 100 819 | 105 96
117 100 1502 | 103 95
117 100 815 | 105 96
117 100 166 | 109 99
117 100 841 | 106 100
117 100 639 | 98 93
117 100 1394 | 117 100
106 100 377 | 78 98
117 100 112 | 84 88
117 100 1248 | 85 95
117 100 530 | 98 93
109 99 667 | 90 92
109 99 361 | 79 85
117 100 56 | 83 90
117 100 64 | 99 97
117 100 168 | 80 91
117 100 212 | 109 99
105 96 1521 | 77 81
117 100 779 | 79 85
117 100 1611 | 117 100
109 99 38 | 105 96
117 100 935 | 109 99
117 100 260 | 106 100
117 100 1042 | 109 99
117 100 442 | 117 100
109 99 60 | 85 95
117 100 1778 | 117 100
117 100 748 | 98 93
117 100 215 | 78 98
109 99 420 | 89 98
117 100 602 | 90 92
117 100 1531 | 91 91
117 100 425 | 97 95
117 100 172 | 77 86
117 100 541 | 105 96
109 99 968 | 89 98
117 100 342 | 83 90
117 100 354 | 106 100
117 100 1360 | 85 100
117 100 50 | 85 95
117 100 657 | 105 96
117 100 888 | 92 95
117 100 180 | 117 100
117 100 354 | 92 95
109 99 986 | 91 91
117 100 378 | 80 91
106 100 1521 | 91 91
117 100 32 | 77 86
117 100 1571 | 117 100
117 100 228 | 77 81
109 99 330 | 79 85
117 100 370 | 103 95
117 100 1622 | 117 100
109 99 1103 | 106 100
117 100 92 | 89 98
117 100 1137 | 85 95
117 100 404 | 91 91
117 100 535 | 76 69
117 100 1282 | 89 98
117 100 971 | 117 100
117 100 1039 | 77 86
117 100 140 | 89 98
117 100 620 | 117 100
117 100 658 | 77 86
117 100 443 | 97 95
117 100 300 | 83 90
117 100 122 | 85 95
109 99 1073 | 98 93
109 99 269 | 87 93
117 100 372 | 90 92
117 100 494 | 106 100
117 100 138 | 89 98
117 100 232 | 97 95
117 100 1442 | 117 100
117 100 168 | 105 96
109 99 599 | 91 91
117 100 346 | 117 100
117 100 1504 | 97 95
117 100 1223 | 98 93
117 100 311 | 117 100
117 100 1401 | 83 90
117 100 276 | 92 95
117 100 1098 | 97 95
106 100 5 | 91 91
117 100 231 | 98 93
117 100 714 | 87 93
117 100 1654 | 109 99
109 99 228 | 98 93
117 100 389 | 117 100
117 100 317 | 117 100
117 100 595 | 92 95
117 100 390 | 105 96
117 100 582 | 80 91
117 100 943 | 117 100
117 100 1424 | 99 97
117 100 188 | 80 91
117 100 1512 | 117 100
117 100 624 | 117 100
117 100 914 | 97 95
109 99 518 | 78 98
117 100 1571 | 97 95
117 100 238 | 78 98
117 100 633 | 105 96
117 100 650 | 109 99
117 100 792 | 117 100
117 100 1679 | 117 100
117 100 954 | 99 97
117 100 1406 | 106 100
117 100 330 | 117 100
117 100 1353 | 117 100
117 100 1215 | 117 100
117 100 44 | 117 100
109 99 1430 | 91 91
109 99 326 | 85 95
109 99 453 | 105 96
117 100 842 | 117 100
106 100 1132 | 91 91
117 100 104 | 99 97
117 100 1405 | 105 96
117 100 1247 | 79 85
117 100 212 | 89 98
117 100 504 | 97 95
117 100 741 | 109 99
117 100 997 | 105 96
109 99 1052 | 83 90
117 100 606 | 91 91
117 100 270 | 117 100
117 100 955 | 117 100
117 100 631 | 97 95
109 99 212 | 84 88
106 100 277 | 83 90
117 100 1019 | 78 98
109 99 6 | 78 98
106 100 597 | 89 98
117 100 1123 | 91 91
109 99 828 | 90 92
117 100 1441 | 117 100
117 100 244 | 98 93
105 96 1243 | 98 93
117 100 302 | 97 95
109 99 536 | 98 93
117 100 309 | 84 88
109 99 862 | 106 100
117 100 282 | 91 91
117 100 515 | 90 92
117 100 1516 | 105 96
117 100 62 | 105 96
117 100 695 | 106 100
117 100 705 | 106 100
117 100 68 | 117 100
117 100 740 | 117 100
109 99 2 | 97 95
117 100 218 | 92 95
117 100 1209 | 76 69
109 99 1069 | 106 100
117 100 1284 | 109 99
117 100 1125 | 99 97
117 100 172 | 85 95
117 100 324 | 97 95
117 100 613 | 90 92
117 100 689 | 117 100
117 100 1565 | 98 93
117 100 245 | 109 99
117 100 947 | 105 96
117 100 364 | 79 85
117 100 242 | 90 92
117 100 594 | 78 98
117 100 1009 | 98 93
117 100 1322 | 85 100
117 100 1240 | 92 95
109 99 162 | 84 88
117 100 556 | 85 95
117 100 76 | 92 95
117 100 1173 | 117 100
117 100 153 | 87 93
103 95 40 | 85 100
117 100 161 | 117 100
117 100 1441 | 99 97
109 99 743 | 91 91
117 100 1560 | 91 91
117 100 1288 | 109 99
109 99 224 | 84 88
117 100 1210 | 87 93
117 100 146 | 109 99
117 100 1073 | 85 95
117 100 1426 | 92 95
109 99 118 | 92 95
117 100 416 | 109 99
117 100 507 | 91 91
117 100 1452 | 99 97
117 100 132 | 98 93
117 100 240 | 117 100
117 100 52 | 117 100
106 100 1620 | 106 100
117 100 641 | 105 96
117 100 1099 | 78 98
109 99 770 | 105 96
117 100 1650 | 109 99
117 100 302 | 117 100
117 100 1532 | 99 97
117 100 138 | 117 100
117 100 404 | 117 100
117 100 304 | 91 91
109 99 354 | 105 96
117 100 411 | 105 96
117 100 216 | 89 98
117 100 926 | 105 96
117 100 773 | 91 91
117 100 174 | 106 100
117 100 228 | 90 92
117 100 22 | 109 99
117 100 789 | 103 95
117 100 468 | 98 93
109 99 481 | 103 95
117 100 1199 | 91 91
117 100 1408 | 87 93
109 99 120 | 83 90
117 100 1123 | 103 95
117 100 453 | 105 96
117 100 1846 | 109 99
117 100 912 | 97 95
106 100 718 | 89 98
117 100 438 | 92 95
117 100 546 | 109 99
117 100 34 | 106 100
117 100 1527 | 103 95
117 100 811 | 77 81
117 100 1536 | 117 100
117 100 48 | 109 99
117 100 739 | 92 95
117 100 1594 | 117 100
117 100 1337 | 97 95
117 100 1066 | 109 99
117 100 270 | 117 100
117 100 68 | 77 81
117 100 1232 | 77 81
117 100 537 | 105 96
117 100 1314 | 117 100
117 100 1488 | 103 95
117 100 1553 | 109 99
117 100 22 | 79 85
117 100 617 | 117 100
117 100 1236 | 117 100
117 100 750 | 97 95
117 100 290 | 98 93
117 100 1601 | 109 99
117 100 431 | 89 98
117 100 429 | 98 93
117 100 1254 | 106 100
117 100 478 | 106 100
109 99 582 | 85 100
117 100 904 | 97 95
117 100 26 | 98 93
117 100 22 | 97 95
117 100 874 | 90 92
117 100 278 | 117 100
117 100 230 | 117 100
117 100 105 | 92 95
117 100 673 | 92 95
117 100 42 | 77 81
117 100 496 | 103 95
117 100 1517 | 91 91
117 100 1293 | 117 100
117 100 552 | 106 100
109 99 473 | 89 98
109 99 1158 | 99 97
117 100 25 | 105 96
117 100 712 | 105 96
117 100 1405 | 89 98
117 100 1624 | 117 100
117 100 674 | 89 98
117 100 242 | 117 100
117 100 427 | 79 85
117 100 1388 | 85 95
117 100 1614 | 117 100
117 100 842 | 97 95
117 100 698 | 98 93
117 100 477 | 92 95
117 100 1221 | 117 100
117 100 586 | 106 100
117 100 1648 | 109 99
117 100 92 | 78 98
117 100 1225 | 91 91
117 100 138 | 91 91
117 100 12 | 117 100
117 100 78 | 103 95
117 100 1093 | 91 91
117 100 24 | 106 100
117 100 514 | 109 99
117 100 1102 | 87 93
117 100 68 | 91 91
117 100 1148 | 117 100
117 100 366 | 90 92
117 100 1022 | 117 100
117 100 737 | 77 81
